name,thc,price,,,,,,
diesel,14,8,,,,,,
diesel,16,10,,,,,,
diesel,18,12,,,,,,
diesel,20,14,,,,,,
diesel,22,16,,,,,,
diesel,24,17,,,,,,
diesel,26,18,,,,,,
diesel,28,19,,,,,,
diesel,30,20,,,,,,
haze,14,13,,,,,,
haze,16,14,,,,,,
haze,18,15,,,,,,
haze,20,16,,,,,,
haze,22,17,,,,,,
haze,24,18,,,,,,
haze,26,19,,,,,,
haze,28,20,,,,,,
haze,30,21,,,,,,
kush,13,10,,,,,,
kush,15,11,,,,,,
kush,17,12,,,,,,
kush,19,13,,,,,,
kush,21,14,,,,,,
kush,23,15,,,,,,
kush,25,16,,,,,,
kush,27,17,,,,,,
kush,29,18,,,,,,
kush,31,21,,,,,,
girl scout cookies,19,15,,,,,,
girl scout cookies,20,16,,,,,,
girl scout cookies,21,17,,,,,,
girl scout cookies,22,18,,,,,,
girl scout cookies,23,19,,,,,,
girl scout cookies,24,20,,,,,,
girl scout cookies,25,21,,,,,,
girl scout cookies,27,23,,,,,,
girl scout cookies,30,25,,,,,,
OG,11,5,,,,,,
OG,13,8,,,,,,
OG,15,10,,,,,,
OG,17,12,,,,,,
OG,19,14,,,,,,
OG,21,16,,,,,,
OG,23,18,,,,,,
OG,25,20,,,,,,
OG,27,22,,,,,,
OG,29,23,,,,,,
OG,32,25,,,,,,
Jack Herer,16,10,,,,,,
Jack Herer,17,12,,,,,,
Jack Herer,18,15,,,,,,
Jack Herer,19,16,,,,,,
Jack Herer,21,17,,,,,,
Jack Herer,23,18,,,,,,
Jack Herer,25,19,,,,,,
Jack Herer,27,20,,,,,,
Jack Herer,30,22,,,,,,
Gorilla Glue,18,10,,,,,,
Gorilla Glue,19,11,,,,,,
Gorilla Glue,20,12,,,,,,
Gorilla Glue,21,13,,,,,,
Gorilla Glue,22,14,,,,,,
Gorilla Glue,24,15,,,,,,
Gorilla Glue,25,16,,,,,,
Gorilla Glue,27,17,,,,,,
Gorilla Glue,29,18,,,,,,
Gorilla Glue,30,19,,,,,,
Gorilla Glue,32,20,,,,,,
Blue Dream,19,10,,,,,,
Blue Dream,20,11,,,,,,
Blue Dream,21,12,,,,,,
Blue Dream,22,14,,,,,,
Blue Dream,24,15,,,,,,
Blue Dream,26,16,,,,,,
Blue Dream,27,17,,,,,,
Blue Dream,28,18,,,,,,
Blue Dream,29,19,,,,,,
Blue Dream,30,20,,,,,,
Green Crack,17,13,,,,,,
Green Crack,19,14,,,,,,
Green Crack,20,15,,,,,,
Green Crack,21,16,,,,,,
Green Crack,23,17,,,,,,
Green Crack,25,18,,,,,,
Green Crack,26,19,,,,,,
Green Crack,27,20,,,,,,
Green Crack,28,21,,,,,,
