,0
0,"<p>
The story begins with the trial of a young banker, Andy Dufrense,
victimized by circumstantial evidence, resulting in a conviction for
the murder of his wife and her lover. After a quick conviction, Andy
finds himself serving a life sentence at Shawshank prison, with no hope
of parole. He exists in this prison only in appearance, keeping his
mind free from the drab walls around him. His ability to do this
results in the gaining of respect from his fellow inmates, but most of
all from Ellis Redding. Ellis, commonly referred to as Red, finds
gainful use of his entrepreneurial spirit within the drab walls of
Shawshank by dealing in contraband and commodities rare to the confines
of prison. Andy's demeanor and undeniable sense of hope causes Red to
take a deeper look at himself, and the world around him. Andy proves to
Red and the other inmates that in the conventional walls of Shawshank
prison convention will find no home in his lifestyle.<br/><br/>By creating the film's firm foundation, the meticulously chiseled
screenplay paved the way for this film's success. Frank Darabont
outdoes himself with the phenomenal adaptation of Stephen King's
equally noteworthy novella, Rita Hayworth and Shawshank Redemption. In
this novella, King demonstrates that he can break free from the genre
he dominates and still create a marvelous piece of modern literature.
Though the film mirrors the novella in many ways, Darabont illustrates
a focused objective of improving upon the areas where the novella came
up short, resulting in one of the best book to film transitions ever.<br/><br/>While maintaining some of the poetic and moving dialogue of the
novella, Darabont also proves that a film's score can generate a great
deal of emotional response from its audience, as dialogue does. He
employs the cunning Thomas Newman, son of the legendary Hollywood
composer, Alfred Newman. Darabont shows recognition for the film's
needs by employing Newman, who makes the gentle piano chords whisper
softly to the viewer, as if a part of the scripted dialogue. Newman
lends himself to individualism and tends to drive more towards the
unique in the realm of score composition. His effort in Shawshank did
not go unnoticed, as his score received an Oscar nomination in 1995.
While unique and independent, Newman's score never once intrudes on
your concentration or distracts from the film.<br/><br/>With work from vast array of talented scene designers, costume
designers, composers, cinematographers, and various other Hollywood
artists, the cast of The Shawshank Redemption had a strong foundation
to work with. The marvelous cast of this film will dazzle you with some
of the most convincing performances you will witness in a film. While
both Tim Robbins and Morgan Freeman shine as Andy and Red,
respectively, the true spectacle of acting lies within the plethora of
amazing supporting actors who easily disappear into their roles. Most
noticeable of these, the veteran film star James Whitmore, who portrays
the elderly Brooks Hatlen. Brooks, a man incarcerated for an
unmentioned crime for so long that he finds himself attached to the
Shawshank and the daily life he has lead. Each of these actors show a
true dedication to their art, and a focused purpose in their
motivations, creating a convincing setting that never once caters to
anything unbelievable. http://howtogetridofacnequick.org
</p>"
1,"<p>
If there was such a thing as a perfect movie, this is it. Of course,
for practical reasons, one cannot award a film ten stars out of ten,
because of the endless stream of new work demanding scrutiny. I'd like
also to start by quoting another well known film, which sums up my
opinion nicely. 'In many ways, the work of a critic is easy- we risk
very little, and thrive on negative criticism, which is amusing to
write and to read. But the harsh truth of the matter is that the
average piece of junk is probably more valuable than our criticism
designating it so'. This could not be closer to the truth. When it
comes down to the wire, critics risk everything in dishing out praise,
for fear of being ridiculed themselves.<br/><br/>There can be no such danger with The Shawshank Redemption. It is an
eternal masterpiece, timeless and inspiring. I avoid being clichéd,
when it is at all possible to do so, but The Shawshank Redemption is
beautiful, masterfully acted, with just that right amount of
tenderness. This is a tale of moral courage, and the everlasting fight
for justice. As with other films of the genre, one can tell what will
happen, of course, but when you watch this film, you will time and
again be genuinely surprised, and maybe even shed a tear for the
persistence and unquenchable thirst of the human spirit. One leaps for
joy after watching this incredible film, at the knowledge that evil, in
all senses of the word, can, and will never triumph.<br/><br/>Turning an eye to the technical side of things, just for a moment, I
can discern not one single badly executed shot. The Shawshank
Redemption is well written, and, as I have said before, brilliantly
acted. Characters that could be flat are all allowed to develop and
flourish, and the film is even better for it. The film grabs our
attention, right from the word go, with agitated shots of Andy looking
like he IS going to kill his wife. And the soundtrack. Well, there
isn't much to say; except that most of the music in this film is some
of the most beautiful I have ever heard.<br/><br/>This is a deeply satisfying, wonderful, brilliant, fantastic, soulful
cinematic work. Watch it, if you haven't seen it, and if you have, you
must agree that this excellent film will be an eternal classic. There
are, of course, films that people will prefer, I myself am strongly
attracted to Subway, a 1985 film by Luc Besson, but for pure facial and
objective value, cinema does not get much better than this.
</p>"
2,<p><b>*** This review may contain spoilers ***</b></p>
3,"<p>
From the summary above which you will have seen, i stated the film to
be a moving masterpiece. Right from the word go i was drawn into the
films twisting emotional plot. It caught my attention that Frank
Darabont has placed a small amount of aspects into the film that get
the audience emotionally involved in which we base ourselves into
simply putting our feet in one of the convicts shoes. Tt especially
caught my eyes with the montage of shots in which the character Brooks
(James Whitmore) takes his own life, the non-diagetic sound adding to
the other element of suspense of the scene and the devastation of the
tragic loss of the character in which we have been following through
the course of the film. The cinematography throughout the film was
basic and what i would term as standard, seen before basic film
camera-work. If this was better it would have highly improved the films
overall watch. throughout the course of the film we see Andy Dufresne
(Tim Robbins) supposedly framed for the murder of his wife and her
lover. We see how he progresses through the twenty years he spends at
Shawshank Prison. We see Robbins act brilliantly as the role of a
nimble, lost and lonely convict turn into a reliant of the Head Warden.
This all becomes of the fact that in Dufresne's previous life he was a
city banker, which is where he gets the nickname of 'wife murdering
banker' around the dim lit prison. Morgan Freeman also shows that he is
one of the worlds leading role- modelling actors as he pulls of another
supreme unique perform. The way he acts during the duration of the film
is entirely versatile proving the Freeman is an exceptional actor and
performs single handed an outstanding performance.<br/><br/>The plot consists of many twists and turns with both leading characters
getting into difficult situation and how they overcome them, or not.<br/><br/>The final half an hour of the film is soul touching and what i would
term as an emotional rollacoaster with a large twist at the end. As
suspense builds it creates a sensational climax tagging the film a must
watch!<br/><br/>I generally don't watch films more than once or twice but this is a
different story. It still amazes me to this day and still gets me
moving every time, it also influences me a lot.<br/><br/>If you haven't watched this i highly recommend you do so!<br/><br/>Joe Ferrari
</p>"
4,<p><b>*** This review may contain spoilers ***</b></p>
5,"<p>
Im not going to sit here and go into a deep explanation of what this
film is about, because that has been thoroughly explained in many of
the other reviews. What I will say is that The Shawshank Redemption is
without any doubt the most amazing film ever written. The acting is
tremendous, the story is original, and the movie itself has a deeper
meaning to it. This movie is not about the hardships of prison, it is
about the importance of friendship and the realization that hope is
your greatest aspect. This piece does not focus as much on Andy and his
great escape from Shawshank, but more on Red finding that there is
always meaning and a purpose for everything. The story really unfolds
when Brooks, an old timer that Andy and Red had been close friends
with, is put on parole and released from prison. After confronting the
outside world and knowing that he could not cope with it, Brooks finds
that he has no purpose outside of life in jail and hangs himself. Later
in the movie, after Andy makes his great escape from prison, Red is
finally released from Shawshank himself, and is put in the same
situation as Brooks. Only one reason marks the fact that Red himself
didn't commit suicide. That reason is Andy. Red figures out that he
does have a purpose outside of prison which is to see his best friend
again and to ""give him a handshake"". And as the movie comes to a
marvelous ending, that hope to see Andy becomes a reality.<br/><br/>Overall the best movie I have ever watched and I am glad to say that I
will continue to keep watching it again and again and again.
</p>"
6,"<p>
The 'Shawshank Redemption' undoubtedly deserves to be the highest rated
movie. The movie depicts how a four lettered word 'Hope' brings wonders
to our lives and makes something impossible to possible.<br/><br/>Though the plot of the movie focuses on how Andy Dufrane, a falsely
convicted prisoner gets out of the prison, the beauty of the movie lies
in the characterization of Andy Dufrane (just amazing) and how he
influences his fellow prisoner 'Red'. The narration by Morgan Freeman
in the role of 'Red' is perhaps one of the best narrations i have ever
come across. This story proves that the king of horrors, Stephen King,
is equally good at any other genre of 'Story Writing'(Hats off). The
dialogues towards the end of the movie about hope are truly inspiring.
The background score of the movie is excellent. Tom Robbins and Morgan
Freeman at their best in the roles of Andy Dufrane and Red
respectively.<br/><br/>Didn't watch the movie??...go grab a DVD and watch it as soon as
possible. Can't miss a movie like this....
</p>"
7,"<p>
I watched this movie for the umpteenth time probably last Sunday and
how much I loved it yet again!!! A movie I would never ever get bored
of and definitely, one of my all time favorites. A simple yet wonderful
story about HOPE!!! HOPE  One word that drives all of us and gives us
reason to live. We push ourselves through our mundane lives in the hope
of achieving / finding something that we dream of. In the words of this
movie's protagonist  ""hope is a good thing, maybe the best of things,
and no good thing ever dies""!!! Superlative performances by Tim Robbins
and Morgan Freeman.<br/><br/>A must watch if you haven't!!!
</p>"
8,"<p>
This movie I'm not going to call this film the IMDb #1 movie, but I
really can't deny that this is fantastic. The cast, the score, the
writing, and the power are all here in this film, and filled with
strength. It's one of those movies that you will continue to think
about even after the film is over. It is about a friendship, a life, an
evil, and a hope. A hope that is considered in many ways to be bridge
to insanity inside the prison walls. We see these people as years of
time goes by. We see friendships grow, and topics change. It really
puts you in the prison, and makes you feel what's like to behind those
bars. You feel the friendship, the hope, the darkness, and the pure
horror of it all.<br/><br/>4 stars out of 4
</p>"
9,<p><b>*** This review may contain spoilers ***</b></p>
