,title,location,summary_review,review_score,movie_score,genre
0,Raptor Ranch,United States,really not good ,2.0,3.1,Action
1,Raptor Ranch,United Kingdom,you 're better off stay well clear from this ranch ,1.0,3.1,Action
2,Raptor Ranch,Denmark,so messy it should be raptor ranch dressing ... ,2.0,3.1,Action
3,Raptor Ranch,"Hamburg, Germany",of reptile and man ,3.1,3.1,Action
4,Raptor Ranch,United States,a lot better then people say ,7.0,3.1,Action
5,Raptor Ranch,pee hole,what a f*ck be this ,7.0,3.1,Action
6,Raptor Ranch,"Omaha, NE",diversity in different way ,2.0,3.1,Action
7,Raptor Ranch,Bangladesh,not worth watch ,1.0,3.1,Action
8,Gunday,United Kingdom,waste of time and money ,1.0,2.0,Action
9,Gunday,"Dhaka, bangladesh",it ' a real pain irrelevant story in the name of history ,1.0,2.0,Action
10,Gunday,Dhaka; Bangladesh,manipulate bangladesh 's liberation war history ,1.0,2.0,Action
11,Gunday,"Chittagong, Bangladesh",better start sell pinup magazine on the street - i mean it ,1.0,2.0,Action
12,Gunday,Bangladesh,to yashraj film authority ,1.0,2.0,Action
13,Gunday,"Dhaka, Bangladesh",worst movie and historically appropriate ,1.0,2.0,Action
14,Gunday,UNKNOWN,a big protest as a bangladeshi ,1.0,2.0,Action
15,Gunday,Pakistan,wake up bollywood plzzzzz ,2.0,2.0,Action
16,Gunday,Bangladesh,this movie change the main history ,1.0,2.0,Action
17,Gunday,Bangladesh,this film have start disaster in bangladesh ,2.0,2.0,Action
18,Gunday,Dhaka,it   be bangladesh 's liberation war against pakistan ,1.0,2.0,Action
19,Gunday,"Dhaka, Bangladesh",history distortion ,1.0,2.0,Action
20,Gunday,UNKNOWN,misrepresentation of the history of 1971 liberation war ,1.0,2.0,Action
21,Gunday,UNKNOWN,bollywood masala action film its not base on fact ,1.0,2.0,Action
22,Gunday,"Dhaka, Bangladesh",illiterate and uneducated producer ,1.0,2.0,Action
23,Gunday,London,poor script reflect stupidity of ignorant director and writer ,1.0,2.0,Action
24,Gunday,Bangladesh,worst movie in the world history ,1.0,2.0,Action
25,Gunday,Bangladesh,manipulate bangladesh 's liberation war history ,1.0,2.0,Action
26,Gunday,"Dhaka, Bangladesh",protest : misinterpret the history of bangladesh liberation war in 1971 ,2.0,2.0,Action
27,Gunday,"Dhaka, Bangadesh",i strongly protest this movie ,2.0,2.0,Action
28,Gunday,Bangladesh,gunday : manipulating bangladesh 's liberation war history ,1.0,2.0,Action
29,Gunday,United States,disappoint ,1.0,2.0,Action
30,Gunday,Bangladesh,be we sucker for entertainment only ,1.0,2.0,Action
31,Gunday,"Chittagong, Bangladesh",rubbish ,1.0,2.0,Action
32,Gunday,UNKNOWN,wrong history ,1.0,2.0,Action
33,Gunday,"Comilla, Bangladesh",nothing but a bunch of lie in this movie ,1.0,2.0,Action
